Erdbeben,n,earthquake
Erdöl,n,crude oil
Öl,n,oil
Opfer,n,victim
Recycling,n,recycling
Ende,n,end
Lied,n,song
Programm,n,programme
Radio,n,radio
Mobiltelefon,n,mobile phone
Passwort,n,password
Satellitenfernsehen,n,satellite TV
soziales Netz,n,social network
Band,n,ribbon
Geschenk,n,present
Kleid,n,dress
Licht,n,light
Museum,n,museum
Picknick,n,picnic
Tier,n,animal
Willkommen,n,welcome
Brettspiel,n,board game
Gewichtstraining,n,weight training
Hobby,n,hobby
Inlineskaten,n,roller blading
Klavier,n,piano
Lesen,n,reading
Schach,n,chess
Schlagzeug,n,drums
Spiel,n,game
Spielzeug,n,toy
Sportzentrum,n,sports centre
Stadion,n,stadium
Turnen,n,gymnastics
Einkaufszentrum,n,shopping centre
Kaufhaus,n,department store
Leder,n,leather
Portemonnaie,n,purse
Schaufenster,n,shop window
Schmuckgeschäft,n,jewellery shop
Schreibwarengeschäft,n,stationery shop
Taschengeld,n,pocket money
Asthma,n,asthma
Auge,n,eye
Bein,n,leg
Blut,n,blood
Fieber,n,temperature
Gesicht,n,face
Herz,n,heart
Knie,n,knee
Krankenhaus,n,hospital
Medikament,n,medicine
Ohr,n,ear
Pflaster,n,plaster
Rezept,n,prescription
Taschentuch,n,handkerchief
Drittel,n,third
Dutzend,n,dozen
Kännchen,n,jug
Päckchen,n,packet
Paket,n,pack
Stück,n,piece
Viertel,n,quarter
Jahr,n,year
Ding,n,thing
Ende,n,end
